site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,"315 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"2560 S ARCHIBALD AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"9309 E RIVERSIDE DR, ONTARIO CA 91761",,,,,False,,
,,"9309 E RIVERSIDE DR, ONTARIO CA 91761",,,,,False,,
,,"2060 S WINEVILLE AV, SUITE 1-A, ONTARIO CA 91761",,,,,False,,
,,"9309 E RIVERSIDE DR, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"125 N VINE AV, ONTARIO CA 91762",,,,,False,,
,,"2200 E PHILADELPHIA ST, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,215 E C ST,,,,,False,,
,,"315 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"443 N BEGONIA AV, ONTARIO CA 91762",,,,,False,,
,,"1630 E SHEARWATER ST, ONTARIO CA 91761",,,,,False,,
,,"225 S EUCLID AV, ONTARIO CA 91761",,,,,False,,
,,"1630 E SHEARWATER ST, ONTARIO CA 91761",,,,,False,,
,,"140 N CAMPUS AV, SUITE B, ONTARIO CA 91761",,,,,False,,
,,"1630 E SHEARWATER ST, ONTARIO CA 91761",,,,,False,,
,,"4495 E WALL ST, SUITE 2-101, Ontario CA 91761",,,,,False,,
,,"4495 E WALL ST, SUITE 2-101, Ontario CA 91761",,,,,False,,
,,"1220 E SIXTH ST, BLDG 1, Ontario CA 91764",,,,,False,,
,,"140 N CAMPUS AV, SUITE A, ONTARIO CA 91761",,,,,False,,
,,United States,,,,,False,,
,,nan,,,,,False,,
,,nan,,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"140 N CAMPUS AV, SUITE B, ONTARIO CA 91761",,,,,False,,
,,"980 N ONTARIO MILLS DR, SUITE 1-A, ONTARIO CA 91764",,,,,False,,
,,"727 N EUCLID AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"765 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",,,,,False,,
,,"125 N VINE AV, ONTARIO CA 91762",,,,,False,,
,,"704 E E ST, ONTARIO CA 91764",,,,,False,,
